ID	ST	Accession No.	Region	District	Antibiotic Resistance	Antigenic Formulas	Average Length	Barcode	City	Collection Day	Collection Month	Collection Time	Collection Year	Comment	Lab Contact	Continent	Country	Date Entered	Disease	Experiment	Latitude	Longitude	Phage Type	Post Code	Release Date	Sample ID	Secondary Sample ID	Project ID	Insert Size	Sequencing Library	Sequencing Platform	Serovar	Source Details	Source Niche	Source Type	Name	Bio Project ID	Subspecies	Bases	Uberstrain
SAL_EA8759AA_AS	ST24669		England	London				SAL_CA6606AA			9		2014		"Gastrointestinal Bacteria Reference Unit, Public Health England"	Europe	United Kingdom	27/08/2015							09/04/2015	SAMN03465864	SRS897996	SRP042645				Minnesota	Homo sapiens; human	Human	Human	54015	PRJNA248792	I		26606
SAL_QA1923AA_AS	ST61352							SAL_IA3274AA			8		2016		Public Health England	Europe	United Kingdom	30/01/2017							30/01/2017	SAMN06278424	SRS1946935	SRP042645				Minnesota	Homo sapiens; human	Human	Human	287790	PRJNA248792	I		83274
SAL_SA9143AA_AS	ST71156							SAL_JA6554AA			3		2017		Public Health England	Europe	United Kingdom	23/05/2017							23/05/2017	SAMN07152276	SRS2214320	SRP042645				Minnesota	food	Food	ND/Others	357771	PRJNA248792	I		96554
SAL_TA0502AA_AS	ST72340							SAL_JA6840AA			4		2017		Public Health England	Europe	United Kingdom	24/05/2017							24/05/2017	SAMN07156031	SRS2216610	SRP042645				Minnesota	food	Food	ND/Others	362764	PRJNA248792	I		96840
SAL_TA1920AA_AS	ST72297							SAL_JA7935AA			4		2017		Public Health England	Europe	United Kingdom	02/06/2017							01/06/2017	SAMN07180679	SRS2243084	SRP042645				Minnesota	food	Food	ND/Others	362760	PRJNA248792	I		97935
SAL_TA2752AA_AS	ST71969		England			"21:b:e,n,x"		SAL_JA8835AA					2017		"Chattaway, PHE"	Europe	United Kingdom	09/06/2017	enteric						12/12/2017							Minnesota	Food	Food	ND/Others	362761		I (MLST)		98835
SAL_TA2745AA_AS	ST72297		England			"21:b:e,n,x"		SAL_JA8836AA					2017		"Chattaway, PHE"	Europe	United Kingdom	09/06/2017	enteric						12/12/2017							Minnesota	Food	Food	ND/Others	362762		I		98836
SAL_TA2746AA_AS	ST74132		England			"21:b:e,n,x"		SAL_JA8837AA					2017		"Chattaway, PHE"	Europe	United Kingdom	09/06/2017	enteric						12/12/2017							Minnesota	Food	Food	ND/Others	362763		I (MLST)		98837
SAL_TA2749AA_AS	ST74135		England			"21:b:e,n,x"		SAL_JA8840AA					2017		"Chattaway, PHE"	Europe	United Kingdom	09/06/2017	enteric						12/12/2017							Minnesota	Food	Food	ND/Others	368987		I (MLST)		98840
SAL_TA2750AA_AS	ST74134		England			"21:b:e,n,x"		SAL_JA8841AA					2017		"Chattaway, PHE"	Europe	United Kingdom	09/06/2017	enteric						12/12/2017							Minnesota	Food	Food	ND/Others	369984		I (MLST)		98841
SAL_TA2751AA_AS	ST74136		England			"21:b:e,n,x"		SAL_JA8842AA					2017		"Chattaway, PHE"	Europe	United Kingdom	09/06/2017	enteric						12/12/2017							Minnesota	Food	Food	ND/Others	373142		I (MLST)		98842
SAL_YA1936AA_AS	ST221944		Macau					SAL_NA4373AA	Macao		6		2017		Charlotte Chan	Asia	Macao	07/01/2018							12/07/2018								chicken wing	Food	Avian	845/SIS/2017-6T				134373
SAL_YA1943AA_AS	ST221942		Macau					SAL_NA4376AA	Macao		6		2017		Charlotte Chan	Asia	Macao	07/01/2018							12/07/2018								chicken wing	Food	Avian	891/SIS/2017-1T				134376
SAL_YA2007AA_AS	ST104485		Scotland					SAL_NA4420AA		7	12		2017		D. Brown (Scotland)	Europe	United Kingdom	08/01/2018							13/07/2018							Minnesota		Human	Human	35-26-8101365				134420
SAL_AB6724AA_AS	ST119913							SAL_PA5187AA					2016		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	08/05/2018							07/05/2018	SAMN08951178	SRS3268614	SRP070120				Heidelberg	chicken carcass	Poultry	Poultry	NC_SMi124	PRJNA293224	I		155187
SAL_AB6719AA_AS	ST120075							SAL_PA5192AA					2016		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	08/05/2018							07/05/2018	SAMN08951185	SRS3268604	SRP070120				Minnesota	Chiken feet	Food	Plant	NC_SMi160	PRJNA293224	I		155192
SAL_AB9236AA_AS	ST122030							SAL_PA7684AA					2016		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	20/05/2018							19/05/2018	SAMN08951168	SRS3319324	SRP070120				Minnesota	slaughterhouse	Livestock	ND/Others	NC_SMi416	PRJNA293224	I		157684
SAL_AB9226AA_AS	ST122036							SAL_PA7694AA					2016		FDA Center for Food Safety and Applied Nutrition	South America	Brazil	20/05/2018							19/05/2018	SAMN08951101	SRS3319128	SRP070120				Schwarzengrund	chicken carcass	Poultry	Poultry	NC_SSc153	PRJNA293224	I		157694
SAL_NB2775AA_AS	ST186129		Macau					SAL_PA8824AA	Macao		6		2017		Charlotte Chan	Asia	Macao	27/05/2018							29/11/2018								chicken wing	Food	Avian	845/SIS/2017-10T				158824
SAL_BB0289AA_AS	ST221941		Macau					SAL_PA8825AA	Macao		6		2017		Charlotte Chan	Asia	Macao	27/05/2018							29/11/2018								chicken wing	Food	Avian	845/SIS/2017-7T				158825
SAL_BB3380AA_AS	ST125331							SAL_QA1782AA			8		2016		Public Health England	Europe	United Kingdom	10/06/2018							09/06/2018	SAMN09386487	SRS3399361	SRP042645				Minnesota	Homo sapiens; human	Human	Human	291767	PRJNA248792	I		161782
SAL_BB6677AA_AS	ST127810							SAL_QA5570AA			9		2013		Public Health England	Europe	United Kingdom	18/06/2018							17/06/2018	SAMN09433535	SRS3424047	SRP042645				Vaertan	Homo sapiens; human	Human	Human	348039	PRJNA248792	I		165570
SAL_CB0588AA_AS	ST131125							SAL_QA8694AA			6		2017		Public Health England	Europe	United Kingdom	27/06/2018							27/06/2018	SAMN09494433	SRS3469553	SRP042645				Minnesota	Homo sapiens; human	Human	Human	385876	PRJNA248792	I		168694
SAL_CB6404AA_AS	ST129736							SAL_RA4321AA			8		2017		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634554	SRS3529410	SRP042645				Minnesota	food	Food	ND/Others	411506	PRJNA248792	I		174321
SAL_CB6297AA_AS	ST129789							SAL_RA4428AA			6		2017		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634304	SRS3529118	SRP042645				Minnesota	food	Food	ND/Others	379346	PRJNA248792	I		174428
SAL_CB6237AA_AS	ST136123							SAL_RA4488AA			1		2018		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634229	SRS3529040	SRP042645				Minnesota	food	Food	ND/Others	481509	PRJNA248792	I		174488
SAL_CB6171AA_AS	ST129795							SAL_RA4554AA			5		2017		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634104	SRS3528868	SRP042645				Minnesota	food	Food	ND/Others	376320	PRJNA248792	I		174554
SAL_CB6161AA_AS	ST129702							SAL_RA4564AA			2		2018		Public Health England	Europe	United Kingdom	10/07/2018							10/07/2018	SAMN09634088	SRS3528845	SRP042645				Minnesota	food	Food	ND/Others	497314	PRJNA248792	I		174564
SAL_CB6490AA_AS	ST129716		England					SAL_RA4600AA	London	11	1		2018		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	474912		I		174600
SAL_CB6517AA_AS	ST129736		England					SAL_RA4627AA	London	7	8		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	432261		I		174627
SAL_CB6531AA_AS	ST129746		England					SAL_RA4641AA	London	7	8		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	408540		I		174641
SAL_CB6533AA_AS	ST129753		England					SAL_RA4643AA	London	7	8		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	406645		I		174643
SAL_CB6558AA_AS	ST129787		England					SAL_RA4668AA	London	6	6		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	379344		I		174668
SAL_CB6560AA_AS	ST129789		England					SAL_RA4670AA	London	6	6		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	379347		I		174670
SAL_CB6570AA_AS	ST129696		England					SAL_RA4676AA	London	20	5		2017		Public Health England (M. Chattaway)	Europe	United Kingdom	12/07/2018							14/01/2019							Minnesota		Food	Unspecified Meat	376319		I		174676
