	F3D0	F3D1	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
ASV1	208.784076772703	185.083875464684	218.176168338635	279	210.132596685083	283.7373351839	272.688493324857	197.577570655442	283.980418378069	210.128280961183	199.705006300836	171.526559520567	469.143859175828	425.320600858369	209.708155912217	343.585956006768	344.442458705659	139.768360160966	195.349114631873	0
ASV2	120.914519282033	163.973513011152	177.849767555664	282	161.490791896869	186.225537820958	208.658190294554	141.671377029465	227.466902282931	176.018237831177	177.919005613472	124.32797602833	211.770283941458	253.922746781116	177.179168031444	229.891539763113	279.215813701598	176.969064386318	158.721155638397	0
ASV3	156.21254665008	103.097118959108	164.924639099584	149	179.97467771639	206.021165857044	211.344776435686	148.024353577871	173.577228006495	142.689340727049	163.637071829534	219.300735494416	158.328926957577	198.150429184549	182.716017032427	193.781049069374	227.148930408882	175.906187122736	179.201304753029	0
ASV4	150.955393637818	31.4200743494424	235.237337900661	155	214.996777163904	238.280707841777	241.344988344988	238.871918220084	205.265163816983	205.962168823167	200.673272998052	249.807137019886	62.8470358130438	87.0592274678112	103.815918768424	133.358544839256	165.92743027349	68.0241448692153	75.2251630941286	0
ASV5	55.5756175582015	62.3492100371747	90.4758991925618	162	116.740331491713	68.1849410131853	124.030726848909	101.012327119663	85.5776100869233	105.454713493531	92.4694695841448	90.9436120947971	44.3206987252984	170.037553648069	98.9711758925647	155.882910321489	239.73652856756	270.502263581489	217.404659832246	0
ASV6	164.849298027368	19.6375464684015	161.822608270125	178	219.860957642726	244.146079111728	200.150667514304	165.177390258569	220.200878784984	212.992483056069	144.997937908122	115.118496322528	15.8186416672287	11.3358369098712	13.1500163773338	6.07800338409475	5.14947197400487	0	0	0
ASV7	101.76346188022	46.6391728624535	122.013212625398	146	141.06123388582	160.56453851492	162.538461538462	128.965423932652	160.861686885089	138.002464571781	126.842937335319	127.781530918006	43.750657584137	70.2821888412017	80.9764166393711	93.3152284263959	103.561603032765	67.4927062374245	77.9821062441752	0
ASV8	60.4572596410165	85.4233271375465	154.067531196477	75	68.0985267034991	27.1273421235253	49.7018436109345	41.9296452194829	13.1192090935142	121.598398028343	109.898270134036	60.4372105693272	153.341066972415	151.44678111588	121.810678021618	83.6619289340101	108.71107500677	137.111167002012	155.570363466915	0
ASV9	58.57970499378	48.1119888475836	68.761683386347	76	70.0441988950276	108.509368494101	104.776859504132	61.623872519543	51.8713344158945	48.9518176216882	67.0524687822202	85.1876872786707	84.9361300330478	127.868240343348	144.650180150671	83.304399323181	145.901705930138	98.8475855130785	83.4959925442684	0
ASV10	76.6042296072508	19.1466078066914	70.3126988010766	90	105.066298342541	98.9781401804303	106.567916931553	86.4004810583283	105.357340720222	104.933949476278	68.0207354794364	52.3789158267502	5.41539084103325	0	0	0	0	0	0	0
ASV11	16.5224808956815	53.5123141263941	5.1700513824321	85	37.9406077348066	11.7307425399028	8.05975842339479	2.5411906193626	27.0457541312446	4.16611213801602	18.8812005957154	33.3843639335331	42.3255547312336	38.5418454935622	29.7605633802817	136.933840947547	59.5050094773897	69.0870221327968	66.1666356011184	0
ASV12	34.9225164385996	0	33.6053339858087	61	51.5603130755064	51.3219986120749	49.2540792540793	33.0354780517138	52.0731684019486	46.0876155268022	34.1314010768702	41.44265867611	14.2510285290349	27.206008583691	0	35.7529610829103	34.3298131600325	29.2291247484909	24.4186393289842	0
ASV13	31.9184290030211	141.390334572491	18.6121849767556	11	8.75552486187845	7.33171408743928	5.82093663911846	15.2471437161756	12.9173751074601	13.5398644485521	10.1668003207698	10.3606646690275	48.5960072840089	20.8579399141631	58.1369145103177	18.9490693739425	21.1700514486867	22.851861167002	37.0218080149115	0
ASV14	28.1633197085481	0	49.6324932713482	51	37.9406077348066	79.9156835530881	51.9406653952108	21.6001202645821	59.3391918998949	65.6162661737523	41.1513346316875	16.6921819667665	2.42267484993593	10.4289699570815	22.1473960039306	0	0	2.12575452716298	0	0
ASV15	24.7837213435223	14.2372211895911	22.231220944458	27	15.5653775322284	30.793199167245	45.2242000423819	20.3295249549008	26.4402521730824	29.4231669747381	27.353534196357	26.4772541541814	26.7919336345856	44.4364806866953	25.6079266295447	13.2285956006768	10.871107500677	11.1602112676056	14.5724137931034	0
ASV16	22.1551448373911	47.6210501858736	3.10203082945926	5	0	3.66585704371964	2.23882178427633	0	7.87152545610851	14.0606284658041	0.968266697216176	2.8779624080632	53.5838672691711	150.086480686695	8.99737962659679	24.6695431472081	21.7422150013539	9.5658953722334	16.1478098788444	0
ASV17	1.87755464723654	14.2372211895911	24.2992414974309	18	23.3480662983425	63.7859125607217	43.4331426149608	29.2236921226699	28.8622600057312	34.1100431300062	33.163134379654	14.9654045219286	1.71012342348418	23.1251072961373	11.7658041270881	4.64788494077834	4.00514486867046	2.65719315895372	3.93849021435228	17.6510374562113
ASV18	14.2694153189977	6.87314126394052	40.8434059212136	32	57.3973296500921	11.7307425399028	5.37317228226319	46.3767288033674	14.5320469958926	23.9551447935921	60.274601901707	75.9782075728684	2.42267484993593	0	0	0	0	0	0	0
ASV19	13.1428825306558	19.6375464684015	19.1291901149988	0	8.75552486187845	28.5936849410132	13.8806950625132	8.25886951292844	24.2200783264877	24.4759088108441	30.0162676137015	9.20947970580223	3.70526741754907	47.1570815450644	5.53684900098264	8.58071065989848	17.1649065800162	49.95523138833	7.48313140726934	0
ASV20	18.7755464723654	63.3310873605948	7.75507707364815	6	0	0	3.58211485484213	26.6825015033073	0	13.2794824399261	0	11.5118496322528	39.6178593107169	0	36.68162463151	13.2285956006768	16.592743027349	14.8802816901408	17.32935694315	0
ASV21	24.0326994846277	31.4200743494424	0	8	0	0	2.6865861411316	12.705953096813	1.81650587448658	2.86420209488601	1.93653339443235	3.45355488967584	44.6057192958791	18.137339055794	35.9895185063872	22.5243654822335	7.43812618467371	27.6348088531187	16.5416589002796	0
ASV22	9.01226230673538	2.94563197026022	27.9182774651334	14	0	7.33171408743928	8.50752278025005	9.52946482260974	19.3760626611902	45.8272335181762	22.5122007102761	29.3552165622446	4.13279827342011	9.52210300429184	16.6105470029479	8.58071065989848	26.3195234226916	10.0973340040241	13.3908667287978	0
ASV23	25.9102541318642	44.1844795539033	0	0	0	0	2.23882178427633	21.6001202645821	6.86235552583819	1.82267406038201	1.69446672012831	3.45355488967584	26.2218924934242	4.98776824034335	33.9132001310187	35.7529610829103	25.1751963173572	18.0689134808853	19.2986020503262	0
ASV24	10.5143060245246	20.6194237918216	4.65304624418889	0	13.6197053406998	12.4639139486468	8.05975842339479	22.2354179194227	5.85318559556787	3.90573012939002	10.6509336693779	17.8433669299918	19.3813987994874	7.70836909871245	29.7605633802817	15.7313028764805	7.43812618467371	22.3204225352113	24.8124883504194	0
ASV25	15.7714590367869	53.5123141263941	17.5781747002691	0	3.89134438305709	6.59854267869535	4.02987921169739	20.3295249549008	3.02750979081097	5.46802218114603	7.26200022912132	0	14.6785593849059	3.17403433476395	31.1447756305273	6.43553299492386	4.00514486867046	24.4461770623742	35.0525629077353	0
ASV26	20.6531011196019	62.8401486988848	0	0	0	5.13219986120749	0	0	4.64218167924348	0	0	0	36.76765360491	8.1618025751073	20.7631837536849	11.4409475465313	0	0	20.8739981360671	0
ASV27	20.2775901901546	12.2734665427509	6.20406165891852	0	19.4567219152855	0	0	0	9.48619734454103	12.4983364140481	9.9247336464658	17.8433669299918	7.69555540567883	9.52210300429184	48.4474287585981	13.5861252115059	17.7370701326835	29.2291247484909	19.2986020503262	0
ASV28	9.01226230673538	11.7825278810409	27.9182774651334	7	20.4295580110497	6.59854267869535	7.61199406653952	13.9765484064943	8.67886140032477	10.6756623536661	31.4686676595257	40.8670661944974	5.13037027045255	4.08090128755365	0	7.15059221658206	0	4.25150905432596	5.5138863000932	0
ASV29	25.1592322729696	32.8928903345725	10.3401027648642	8	13.6197053406998	10.9975711311589	4.92540792540793	12.0706554419723	2.01833986054064	2.34343807763401	9.68266697216176	17.2677744483792	10.6882713967762	3.17403433476395	26.9921388797904	16.0888324873096	4.00514486867046	14.3488430583501	14.9662628145387	0
ASV30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303.483966585826
ASV31	24.408210414075	23.5650557620818	10.3401027648642	0	0	10.9975711311589	7.61199406653952	15.2471437161756	4.44034769318942	3.90573012939002	12.3454003895062	13.2386270770907	7.12551426451743	8.1618025751073	13.8421225024566	15.0162436548223	0	21.2575452716298	12.2093196644921	0
ASV32	12.0163497423138	45.1663568773234	0	0	0	0	0	0	0	0	0	0	24.51176906994	3.6274678111588	11.0736980019653	6.79306260575296	5.14947197400487	32.4177565392354	35.4464119291706	0
ASV33	1.87755464723654	7.36407992565056	13.9591387325667	0	12.6468692449355	12.4639139486468	8.50752278025005	10.800060132291	8.27519342821664	4.94725816389402	13.3136670867224	25.9016616725688	12.25588453497	7.2549356223176	21.4552898788077	8.93824027072758	5.14947197400487	11.1602112676056	12.2093196644921	0
ASV34	15.3959481073396	24.5469330855019	0	4	0	0	0	0	4.64218167924348	0	2.66273341734448	0	14.6785593849059	0	29.7605633802817	17.5189509306261	10.2989439480097	28.6976861167002	36.234109972041	0
ASV35	9.76328416563	14.7281598513011	12.9251284560803	11	13.6197053406998	0	0	17.7883343355382	8.27519342821664	12.4983364140481	20.5756673158437	15.5409970035413	5.70041141161395	3.17403433476395	7.61316737635113	9.65329949238579	6.29379907933929	2.65719315895372	5.5138863000932	0
