	Richness	Effective.Richness	Shannon.Index	Shannon.Effective	Simpson.Index	Simpson.Effective	Evenness
F3D0	103	67	3.77197595567601	43.47	0.0398619795283025	25.09	0.564118097402589
F3D1	94	72	3.90826682210265	49.81	0.0322053877433977	31.05	0.596264221988895
F3D141	71	48	3.32124781942569	27.69	0.0575855974253167	17.37	0.540062502552656
F3D142	49	36	2.99403544389423	19.97	0.0718404468405868	13.92	0.533248471785641
F3D143	57	46	3.22588266634162	25.18	0.059625011446537	16.77	0.553050487581252
F3D144	45	35	2.91554540598817	18.46	0.0770445287002386	12.98	0.53088554170116
F3D145	70	33	2.96922485267841	19.48	0.0757191590573085	13.21	0.484432656229076
F3D146	81	67	3.55471113818768	34.98	0.0491777641418457	20.33	0.560693255608616
F3D147	106	39	3.2220686805073	25.08	0.0698812566183304	14.31	0.478910043938158
F3D148	98	36	3.34482197925021	28.36	0.0574497452478599	17.41	0.505664202674881
F3D149	105	54	3.54241663525949	34.55	0.0494270123064187	20.23	0.527597125535385
F3D150	77	58	3.50290610284573	33.21	0.0506805273072811	19.73	0.55896368578996
F3D2	123	55	3.44645028446783	31.39	0.0778211723312556	12.85	0.496426803547517
F3D3	64	35	2.93454152963216	18.81	0.0890429921346866	11.23	0.489090254938693
F3D5	77	65	3.61600773891633	37.19	0.0438720501621693	22.79	0.577011473972331
F3D6	90	57	3.33363268219881	28.04	0.0674468980562928	14.83	0.51351018464721
F3D7	59	35	2.91499829727095	18.45	0.0866837817669995	11.54	0.495525272026691
F3D8	96	68	3.65711630875069	38.75	0.0479510614997834	20.85	0.555373900511989
F3D9	102	65	3.68476150861377	39.84	0.0461004977725741	21.69	0.552237203080497
Mock	19	18	2.70082906338109	14.89	0.0771886416903405	12.96	0.635799234999578
