#NAME,F3D0,F3D1,F3D141,F3D142,F3D143,F3D144,F3D145,F3D146,F3D147,F3D148,F3D149,F3D150,F3D2,F3D3,F3D5,F3D6,F3D7,F3D8,F3D9,Mock
ASV1,556,377,422,279,216,387,609,311,1407,807,825,298,3292,938,303,961,602,263,496,0
ASV2,322,334,344,282,166,254,466,223,1127,676,735,216,1486,560,256,643,488,333,403,0
ASV3,416,210,319,149,185,281,472,233,860,548,676,381,1111,437,264,542,397,331,455,0
ASV4,402,64,455,155,221,325,539,376,1017,791,829,434,441,192,150,373,290,128,191,0
ASV5,148,127,175,162,120,93,277,159,424,405,382,158,311,375,143,436,419,509,552,0
ASV6,439,40,313,178,226,333,447,260,1091,818,599,200,111,25,19,17,9,0,0,0
ASV7,271,95,236,146,145,219,363,203,797,530,524,222,307,155,117,261,181,127,198,0
ASV8,161,174,298,75,70,37,111,66,65,467,454,105,1076,334,176,234,190,258,395,0
ASV9,156,98,133,76,72,148,234,97,257,188,277,148,596,282,209,233,255,186,212,0
ASV10,204,39,136,90,108,135,238,136,522,403,281,91,38,0,0,0,0,0,0,0
ASV11,44,109,10,85,39,16,18,4,134,16,78,58,297,85,43,383,104,130,168,0
ASV12,93,0,65,61,53,70,110,52,258,177,141,72,100,60,0,100,60,55,62,0
ASV13,85,288,36,11,9,10,13,24,64,52,42,18,341,46,84,53,37,43,94,0
ASV14,75,0,96,51,39,109,116,34,294,252,170,29,17,23,32,0,0,4,0,0
ASV15,66,29,43,27,16,42,101,32,131,113,113,46,188,98,37,37,19,21,37,0
ASV16,59,97,6,5,0,5,5,0,39,54,4,5,376,331,13,69,38,18,41,0
ASV17,5,29,47,18,24,87,97,46,143,131,137,26,12,51,17,13,7,5,10,31
ASV18,38,14,79,32,59,16,12,73,72,92,249,132,17,0,0,0,0,0,0,0
ASV19,35,40,37,0,9,39,31,13,120,94,124,16,26,104,8,24,30,94,19,0
ASV20,50,129,15,6,0,0,8,42,0,51,0,20,278,0,53,37,29,28,44,0
