#OTU ID	F6D7	M3D21	F7D13	M2D13	F8D7	M5D3	M3D17	M6D146	M3D19	M6D6	F8D147	M6D4	F4D15	M2D9	F6D142	M3D145	M4D175	F4D65	M5D25	F7D124	F8D25	F4D13	M4D7	F6D125	F5D17	F8D150	F6D9	F6D144	M6D11	M6D124	M4D147	M2D4	M6D142	F6D6	M6D17	M6D149	F6D141	M3D25	M3D13	F4D147	M5D364	M6D45	F5D3	M5D5	F8D9	M3D150	M1D145	F6D15	M5D6	F5D6	M2D7	M5D11	F4D3	F6D4	M3D146	M5D13	M5D150	M6D21	F5D7	M6D2	M2D145	M6D145	F3D6	M4D143	F6D149	M2D147	F5D149	M6D13	F6D13	M5D146	F4D148	F7D143	M2D65	M4D17	M5D19	M6D25	M1D125	M6D147	M5D8	F8D45	F8D0	M1D15	M1D142	M3D6	M4D13	F6D0	F7D7	F3D125	F4D11	M4D3	F4D302	M5D147	F7D2	M3D7	F6D2	F3D15	M2D146	M5D17	M4D15	F3D21	F3D3	M1D6	M3D11	F5D364	F6D143	M1D1	F6D165	F4D19	M1D148	F7D144	F7D9	M1D25	M2D141	M2D21	M5D124	F5D13	F5D9	M1D147	Mock2	M5D0	F5D144	M4D146	M1D3	F3D149	M1D17	F8D1	M3D4	F7D148	M2D25	M5D15	F6D147	F3D364	F7D6	F8D143	F4D125	M5D142	M2D1	M2D8	M5D141	F6D5	M6D1	F6D21	F6D3	M5D7	M6D8	F4D144	F8D142	M5D45	F5D11	M2D3	F6D146	F5D143	M1D13	F3D141	F8D8	F3D17	F4D4	F7D145	F5D150	M3D142	F4D17	M2D364	M2D5	M6D65	M4D144	F5D148	F3D13	M5D1	F3D150	M3D125	M2D142	F3D1	F8D125	M5D175	F7D5	M5D145	M5D4	M6D5	M5D21	M2D150	M5D143	F4D143	F3D148	M6D150	F5D5	F4D21	F7D15	F6D45	F7D1	F5D15	F3D145	F8D148	M6D364	F7D11	F6D17	M5D149	M5D9	M4D65	F5D21	F5D2	M3D143	M6D175	F6D65	F8D65	M2D0	F7D25	M5D65	M6D9	F5D4	F6D19	F6D8	M4D4	F4D141	F3D7	M5D148	M1D0	F5D1	M5D2	M2D144	M6D3	M2D17	F7D146	M3D65	F4D145	F7D3	F4D9	M1D144	M6D7	F4D150	M1D143	F4D8	M1D11	F7D4	M2D6	F3D11	F4D7	M6D141	F8D2	F7D141	M1D8	F7D45	F4D0	M3D2	F6D11	F5D125	M6D19	F4D1	M3D144	F5D45	F8D146	F8D5	F3D147	F3D9	M1D4	F7D150	M2D15	M3D9	F4D5	M2D148	M5D144	F6D25	F5D146	F7D65	F6D1	M6D0	M3D45	M4D141	F4D25	F4D6	F5D8	F3D2	F4D149	F3D8	M3D0	F7D0	F3D0	F8D3	M4D125	M4D142	F5D0	M6D15	F4D142
seq_1	860	1489	796	1411	440	1884	842	359	589	1069	642	3492	909	1708	2321	950	0	621	921	1693	514	1080	626	1199	416	933	935	1967	362	1116	418	2451	613	465	621	291	1428	629	1269	1316	398	484	2279	1712	630	734	1588	717	537	529	1163	919	1204	1013	676	1074	1010	1060	909	1700	744	422	1111	1177	1084	704	1114	809	1339	1059	1431	1693	1743	664	2310	404	1006	467	300	386	1246	686	836	563	707	693	1073	1221	946	927	1705	1134	971	757	799	1325	449	999	648	1215	1078	920	609	1178	2246	726	0	509	655	1929	689	840	706	961	848	2989	2127	814	0	434	634	596	2971	979	580	1781	435	2100	1182	888	1264	682	846	562	1828	1342	952	1120	1264	164	569	1238	913	740	610	2019	711	599	3230	1415	2057	4589	1403	504	894	1142	2071	681	331	1255	698	1029	3679	1690	698	499	2468	1047	359	939	1035	436	300	0	571	759	718	2182	2369	1178	607	2627	995	915	125	1154	1761	988	965	486	720	448	1515	589	913	698	630	496	710	2434	2056	0	1772	1104	273	842	1874	1049	1392	791	335	771	1315	721	1632	1136	1992	1897	1033	1046	1065	1259	1701	2557	577	347	1090	3747	1819	1460	557	3580	566	2002	3533	1257	659	1353	744	1151	941	483	1014	1593	290	946	409	470	672	515	312	1747	542	3016	663	530	471	1937	756	473	1537	500	2072	1146	1092	463	477	1725	1609	494	3767	1528	304	875	880	617	1273	915	1270	1813	887	1066
seq_2	1007	1627	942	946	504	644	716	394	530	990	401	2348	611	1435	1557	770	0	419	1008	1437	550	931	912	1354	646	598	1763	1197	350	1570	284	2289	512	434	510	362	1155	535	1831	1111	566	747	1496	1068	1314	498	1083	814	450	1933	749	903	667	954	434	866	653	1156	1574	956	578	451	734	834	840	562	855	834	1194	676	1106	967	1492	532	2136	474	709	461	461	302	488	540	713	429	811	483	1027	728	698	654	1753	745	521	831	439	877	449	1059	808	1082	661	751	777	534	1277	465	0	624	506	1240	1118	649	442	887	820	3042	2658	684	0	276	443	386	2048	861	436	629	446	1067	809	657	755	738	1048	370	1222	944	617	775	1155	176	238	762	642	585	647	1340	582	664	3114	1313	1596	3096	1479	388	1392	987	1125	364	309	1107	516	846	2638	2374	550	392	2158	345	256	849	728	366	501	0	653	493	449	1915	2294	768	391	1891	831	1029	210	1230	1484	690	1025	658	538	314	2024	953	1077	585	721	395	445	867	1654	0	1190	919	286	1159	1237	950	1339	1034	776	632	1017	536	1221	949	886	473	602	984	859	663	922	1804	499	215	786	4575	1575	943	385	4587	564	1584	2010	893	983	524	468	1946	497	279	692	2361	230	679	219	384	512	366	306	1379	446	2785	610	296	506	1242	564	353	985	393	1904	943	507	437	366	1135	936	1026	1773	1406	364	829	1221	374	905	661	912	1309	576	1106
seq_3	804	1864	1513	935	650	672	1169	328	557	592	397	1497	428	960	879	565	0	400	1072	1181	963	495	456	912	1175	567	1523	938	306	1056	87	1740	331	425	720	266	784	465	2589	1062	399	1019	1042	1710	502	276	563	818	462	1862	1154	894	694	778	262	1382	711	1844	2436	897	303	369	638	452	616	329	572	786	2357	713	1370	1164	1191	569	3146	352	492	371	422	413	979	547	368	785	553	700	779	747	1017	344	1471	1086	653	983	466	769	230	1518	722	764	547	1224	1254	113	946	505	0	307	448	1041	1063	388	142	671	583	9300	3643	361	0	317	402	163	1791	844	346	814	398	1378	1019	518	731	674	627	391	1340	774	418	479	748	162	414	1165	890	1050	860	2206	490	593	4731	1374	1122	2581	1096	366	1299	600	1570	441	394	812	334	752	2637	2152	211	400	1099	464	427	403	328	250	909	0	405	633	483	934	2873	332	307	3178	682	649	467	329	2285	674	725	896	600	302	895	1011	989	388	533	225	488	971	1006	0	990	1180	252	1985	2271	820	1082	1045	414	408	1225	486	1045	1198	1332	713	404	549	777	658	1056	2737	454	606	601	4389	1922	521	824	1646	415	2306	2360	1483	423	349	443	1051	1012	257	750	2411	291	1039	148	260	612	268	242	1074	537	2359	755	1103	660	1159	247	301	789	214	2174	674	1023	422	140	852	1082	1112	1324	1225	365	1196	748	481	542	210	580	1510	454	879
seq_4	193	1101	346	879	91	460	971	570	435	174	641	544	928	621	1711	1374	0	487	643	1804	758	666	107	1164	784	750	149	1334	117	1783	443	692	648	46	302	571	1237	674	1650	1842	861	766	649	1547	61	829	1500	318	281	357	711	214	320	206	816	364	1256	688	551	570	878	645	443	1299	1038	1083	783	273	591	1312	1376	948	1403	342	1483	671	1202	691	211	381	1096	678	985	768	257	807	231	820	462	130	1407	2020	1063	572	123	1491	726	805	278	703	223	2025	539	806	1410	369	0	342	900	1132	176	730	473	614	1325	2154	655	1011	0	485	487	724	1904	1025	720	655	308	2160	958	156	957	588	174	514	1456	1630	251	571	1762	27	432	1280	175	498	287	1882	670	846	518	487	1530	3195	1169	555	173	770	722	515	454	2274	412	1650	1250	1219	639	435	1076	610	532	1359	939	78	1009	0	160	1212	573	362	1272	1344	675	2268	1023	1119	134	511	480	949	196	386	635	489	1594	155	542	888	201	422	404	513	2811	0	1014	948	182	583	1056	284	964	726	52	77	1120	330	2048	1135	981	510	1115	274	1155	759	1301	2692	158	192	1295	2172	1447	1284	272	2665	221	1028	962	671	778	348	646	2807	681	433	540	206	386	481	139	901	378	485	45	1310	228	3508	793	1691	438	731	839	585	707	370	904	415	1031	487	446	911	541	162	512	1149	155	1776	110	473	122	856	1616	1353	265	811
seq_5	908	314	944	679	644	566	432	306	544	966	311	3748	191	980	1159	522	0	447	291	717	265	640	635	781	259	339	495	710	555	1051	232	661	501	257	357	340	1263	320	527	724	370	317	3064	1181	1707	227	264	173	442	4289	419	492	229	222	292	627	360	475	2890	2364	215	381	564	1018	732	193	624	460	878	460	831	881	764	295	1131	212	208	382	270	474	883	157	283	474	248	890	422	516	285	191	1857	458	1491	425	273	369	126	355	385	310	491	2291	424	0	870	936	0	240	180	938	563	376	145	135	434	3472	1507	293	0	663	322	307	3453	512	150	1466	200	858	359	491	564	542	515	498	803	758	50	653	801	128	729	648	257	594	721	942	558	294	1054	355	1042	1485	901	226	1024	529	599	268	321	491	243	264	747	667	481	297	1438	591	213	252	368	143	571	0	172	508	578	2356	1267	415	349	1053	565	609	1147	456	1148	741	273	274	415	376	0	485	431	398	608	250	540	2075	947	0	835	518	112	969	630	1092	1198	513	412	426	471	573	742	1483	1362	697	296	1873	414	295	766	760	184	292	199	2241	785	437	338	3183	299	1256	635	397	472	577	420	2932	786	125	507	692	226	801	33	192	313	326	303	613	678	3432	424	157	386	564	196	211	954	260	844	383	695	283	458	509	533	1659	405	1416	621	1977	179	186	1078	411	557	2192	866	651
seq_6	0	1783	0	667	15	70	1156	326	673	363	364	1363	668	98	1810	1251	0	200	773	1915	436	100	255	1563	899	607	23	1441	219	1347	408	51	556	0	403	434	1532	852	2426	1540	717	881	471	233	28	679	1234	709	99	28	0	159	24	22	601	367	762	519	61	792	726	485	14	954	1035	822	801	505	469	665	1221	921	1637	438	536	523	821	524	56	286	543	491	869	147	847	734	0	941	0	205	1296	817	391	130	40	954	739	575	655	1322	24	278	280	1130	1370	394	0	438	764	1037	0	807	579	1000	711	807	160	730	0	353	543	443	509	763	473	355	58	1508	1344	145	708	857	0	399	1511	998	198	15	1104	0	413	2145	22	140	357	1277	621	561	371	59	1399	3300	1791	389	32	931	27	358	405	1655	379	1388	104	2039	609	412	319	495	257	1139	725	46	337	0	0	702	89	1249	311	884	554	2735	1024	1212	15	509	0	1270	0	556	569	388	2284	0	877	533	85	509	582	592	2156	0	1649	723	395	340	744	440	761	1121	0	246	544	0	1095	1432	769	193	959	449	889	543	1165	1747	79	0	1216	2618	1042	1212	0	2131	0	19	35	14	947	167	536	1341	339	114	131	86	324	618	21	616	542	393	15	1418	0	1054	516	711	287	63	625	368	963	368	1207	302	374	464	440	888	15	33	137	990	0	936	0	513	85	1042	1100	852	336	290
seq_7	925	64	459	50	608	345	433	310	49	422	158	85	131	416	341	361	0	548	158	253	229	198	453	456	151	328	1707	340	289	1161	299	1060	95	927	85	558	852	214	418	360	484	527	531	992	1109	179	122	60	414	2868	71	761	303	1468	155	470	572	68	2635	0	113	500	284	933	333	88	178	36	546	300	395	41	634	211	585	225	229	493	1129	358	0	133	186	221	128	153	588	289	38	254	1137	397	0	317	592	240	67	278	56	411	456	557	365	115	182	72	0	121	94	187	576	138	292	43	883	1472	2675	65	0	0	392	217	1112	629	55	96	490	713	115	242	196	69	1147	136	538	233	64	219	309	891	0	288	2193	807	923	240	208	512	386	1086	175	1160	1475	362	306	135	948	74	143	298	338	217	884	627	421	40	275	24	134	228	212	208	390	0	388	605	309	543	690	89	487	702	626	518	1652	69	184	390	790	129	153	424	2005	181	226	180	730	202	51	191	702	0	661	365	40	643	373	500	118	275	660	351	607	263	949	68	212	101	84	162	44	185	318	1014	65	614	134	128	908	98	707	176	238	600	306	254	271	58	216	934	564	63	77	168	161	152	224	165	56	58	1203	103	482	711	183	96	256	536	66	334	708	141	282	937	0	105	259	97	356	1953	1413	864	318	0	394	193	611	728	497	19	35	1065
seq_8	941	769	861	132	354	913	753	211	256	469	0	1415	76	527	523	248	0	91	0	732	162	191	496	256	1141	0	1825	389	240	848	170	1026	240	648	322	271	267	328	1238	469	63	360	1213	926	748	149	431	497	415	2752	257	0	304	1009	212	0	17	0	1952	746	164	179	274	337	253	131	280	476	766	0	194	192	381	620	0	174	180	235	0	0	252	297	196	311	329	227	1106	40	257	345	407	23	169	404	399	258	113	0	305	0	339	449	309	98	265	274	0	0	443	102	1017	268	121	220	139	2381	2484	138	0	106	218	230	898	330	173	237	303	11	516	0	229	279	558	0	66	9	204	323	0	271	127	20	917	108	297	238	0	0	2624	766	586	1113	794	149	726	63	444	0	167	260	10	369	1541	916	199	199	567	117	171	161	126	113	28	0	305	0	349	900	0	229	0	656	243	343	655	0	1113	206	735	644	269	0	40	795	787	0	0	198	57	837	370	0	101	12	105	1496	0	453	1069	157	623	269	197	316	21	260	408	616	265	728	0	0	400	470	453	115	384	2467	585	295	136	1724	299	726	989	366	318	201	140	746	378	95	442	1628	110	0	100	285	346	0	349	309	234	1263	26	12	249	495	208	30	135	150	971	651	356	179	95	0	275	733	704	208	214	204	812	176	644	249	373	328	169	101
seq_9	368	529	224	288	109	189	215	217	156	165	262	606	328	521	689	431	1988	259	288	989	280	516	128	524	177	342	380	623	60	867	140	629	272	159	114	243	527	118	451	927	265	284	265	413	173	213	450	167	126	338	324	225	303	395	260	231	371	368	427	228	307	272	305	423	341	249	289	302	578	432	907	474	600	150	632	229	363	326	124	167	333	239	349	332	161	411	257	571	241	177	1167	631	303	464	126	592	237	322	130	665	196	397	210	433	582	144	0	274	403	568	104	304	211	386	421	1452	536	298	0	178	251	170	778	681	193	195	181	555	472	107	415	458	205	263	1157	493	152	321	452	66	90	346	204	306	105	1593	291	228	726	565	589	1975	452	293	399	496	817	184	142	531	239	441	939	751	271	217	1036	113	273	283	376	104	424	0	132	347	123	428	592	463	208	2078	675	543	61	704	274	222	195	199	469	206	650	85	234	297	261	153	139	175	687	0	325	541	82	284	545	135	304	356	174	217	704	207	629	412	250	119	397	160	200	279	345	1661	79	114	355	1052	1523	436	179	1661	140	862	683	330	331	148	258	731	315	233	183	552	130	222	125	196	157	189	51	1059	226	1184	234	235	191	408	354	162	304	169	932	140	537	117	144	715	322	172	367	1059	141	527	156	303	219	350	548	495	152	703
seq_10	608	264	379	190	266	573	335	158	160	378	123	1250	168	609	492	294	0	220	371	432	366	321	445	331	442	231	635	293	122	415	97	841	165	299	267	130	329	200	637	753	162	156	635	1051	450	165	224	252	403	532	241	648	354	463	147	624	273	253	1164	478	183	145	213	344	291	161	169	233	491	249	586	298	388	419	951	126	230	195	433	126	159	185	227	321	168	29	751	320	216	272	760	577	97	362	188	145	154	989	250	294	321	455	151	309	287	120	0	154	253	496	488	270	120	180	339	1615	1999	181	0	171	172	143	645	465	97	120	287	686	287	343	329	353	463	152	511	480	96	415	457	121	114	605	288	681	247	870	299	226	1518	550	568	787	397	167	263	301	479	136	158	449	137	391	1332	727	168	144	256	135	255	180	225	73	69	0	347	276	467	620	613	278	222	1762	433	223	105	311	539	353	445	209	211	137	438	437	371	191	699	141	254	253	423	0	401	273	121	308	489	294	733	345	324	257	447	182	388	65	159	486	225	439	285	273	240	1033	98	112	293	530	971	257	124	1517	346	492	352	340	210	104	155	973	232	90	274	678	110	214	40	237	211	145	139	868	148	1038	264	83	299	504	218	125	432	128	354	147	317	94	102	279	287	572	454	577	111	366	257	46	493	203	370	353	114	442
