review_number,brand,variety,style,country,stars,continent
3158,Simply Asia,Singapore Street Noodles Classic Curry,Box,United States,0,North America
3129,Acecook,Super Cup Pringles Sour Cream & Onion Yakisoba,Tray,Japan,0,Asia
2972,Bowlfull,Vegetable Flavour Instant Noodle Soup,Pack,Canada,0,North America
2867,Nissin,Cup Noodles Sesame Chicken Flavor Ramen Noodle Soup,Cup,United States,0,North America
2749,Maruchan,Bariuma Goboten Udon,Bowl,Japan,0,Asia
2720,Mr. Noodles,Pho Noodle Soup Simulated Beef Flavour,Bowl,Canada,0,North America
2678,Maggi,Hot Heads Barbeque Pepper Noodles,Pack,India,0,Asia
2631,Isoyama Shoji,18 Prohibited,Pack,Japan,0,Asia
2527,Uni-President,Mushroom Flavor,Pack,Vietnam,0,Asia
2503,Sichuan Guangyou,Sweet Potato Instant Noodle Sour-Hot Flavor,Bowl,China,0,Asia
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,United States,0,North America
2287,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0,Asia
2103,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Beef Artificially Flavored Soup Base,Pack,United States,0,North America
2056,Koyo,Garlic Pepper Reduced Sodium Ramen,Pack,United States,0,North America
2023,Urban Noodle,Authentic Street Food Black Bean,Cup,UK,0,Europe
2017,Samyang Foods,Honey & Cheese Big Bowl,Bowl,South Korea,0,Asia
1956,Maruchan,Spicy Tomato Salsa Ramen,Cup,Japan,0,Asia
1913,Thai Smile,Mushroom Rice Noodle Soup Bowl,Bowl,United States,0,North America
1873,Vedan,Wei Wei A Instant Noodles Chicken Flavor,Bowl,Taiwan,0,Asia
1863,Baijia,Broad Noodle Pickled Vegetable Artificial Beef Flavor,Pack,China,0,Asia
1795,Azami,Kimchee Flavour Noodle Soup,Pack,Canada,0,North America
1782,Western Family,Beef Flavour Instant Noodles,Pack,Canada,0,North America
1641,One Dish Asia,Japanese Ramen Noodle,Bowl,United States,0,North America
1628,Azami,Kimchee Noodle Soup,Cup,Canada,0,North America
1371,Campbell's,Hearty Noodles Thai Flavour,Cup,Canada,0,North America
584,Baijia,Single Noble Black Bone Chicken Sweet Potato Thread,Cup,China,0,Asia
580,Baijia,Hot & Sour Casserole Stewed Rice Noodle,Pack,China,0,Asia
498,Hsin Tung Yang,Tiny Noodle With Oyster Flavor,Pack,Taiwan,0,Asia
386,US Canning,Fu Chang Chinese Noodle Company Pork Seafood,Tray,United States,0,North America
293,Tiger,Onion Flaver Rice Noodle,Bowl,Taiwan,0,Asia
161,Paldo,Green Tea Chlorella,Pack,South Korea,0,Asia
133,Baijia,Hot & Sour Rice Noodle,Pack,China,0,Asia
43,Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,Bowl,Taiwan,0,Asia
128,Mama,Artificial PA-LO Duck,Pack,Thailand,0,Asia
2872,"Chongqing Suanlabao Food Co., Ltd.",Hot Pot Mala Seasoning & Sesame Oil Package,Tray,China,0,Asia
2808,Super,Super Cup Signature White Curry,Cup,Malaysia,0,Asia
2799,Maruchan,Kitsune Soba,Bowl,Japan,0,Asia
2728,Vifon,Hoang Gia Instant Noodles With Minced Pork,Pack,Vietnam,0,Asia
2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0,Asia
2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0,Asia
2208,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,United States,0,North America
1930,Koh Thai,Island Of Flavours Lemongrass Instant Noodles Soup,Pack,Netherlands,0,Europe
1917,IbuRamen,Mi Goreng Bento Noodles In A Box Hot Sweet & Sour Flavor,Tray,United States,0,North America
1800,Crystal Noodle,Soup All Natural Hot & Sour,Cup,United States,0,North America
1642,Campbell's,Hearty Noodles Savoury Beef Flavour,Cup,Canada,0,North America
1609,Mitoku,Brown Rice Ramen,Pack,Japan,0,Asia
768,Fashion Foods,Oriental,Bowl,Thailand,0,Asia
520,Nan Hsing,Vegetarian Rice Noodles,Bowl,Taiwan,0,Asia
455,Baijia,Single Noble Pickled Radish & Duck,Cup,China,0,Asia
174,Lucky Me!,Sotanghon Artificial Chicken,Pack,Philippines,0,Asia
3133,Myojo,Mellow Miso Ramen,Cup,Japan,1,Asia
2809,Acecook,Shrimp Tempura Soba,Cup,Japan,1,Asia
2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,1,Asia
2264,Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,Taiwan,1,Asia
2238,Asian Thai Foods,Rumpum Gundruk Flavour,Pack,Nepal,1,Asia
1923,Conimex,Oriental Noodles Teriyaki,Cup,Netherlands,1,Europe
1861,Conimex,Oriental Noodles Groene Curry,Cup,Netherlands,1,Europe
1415,Chewy,Instant Rice Vermicelli Original Flavour,Pack,Hong Kong,1,Asia
1403,Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,UK,1,Europe
1227,Mr. Noodles,Chicken Kimchi Oriental Style Noodles With Soup Base,Bowl,Canada,1,North America
1213,Nan Jie Cun,Hot -Dry Instant Noodles Chilli Flavour,Tray,China,1,Asia
634,Baijia,Sichuan Hot Pot Sweet Potato Thread,Bowl,China,1,Asia
538,Lucky Me!,Lomi Seafood Vegetable,Pack,Philippines,1,Asia
